class,epsilon_ball,M,total_samples,adversarial,valid_adv,asr_percent,valid_rate_percent
0,0.8,1000,1000,0,0,0.0,100.0
1,0.8,1000,1000,0,0,0.0,100.0
2,0.8,1000,1000,7,7,0.7,100.0
3,0.8,1000,1000,0,0,0.0,100.0
4,0.8,1000,1000,91,91,9.1,100.0
5,0.8,1000,1000,14,14,1.4,100.0
6,0.8,1000,1000,0,0,0.0,100.0
7,0.8,1000,1000,0,0,0.0,100.0
8,0.8,1000,1000,3,3,0.3,100.0
9,0.8,1000,1000,0,0,0.0,100.0
