class,epsilon_ball,M,total_samples,adversarial,valid_adv,asr_percent,valid_rate_percent
0,1.0,1000,1000,0,0,0.0,100.0
1,1.0,1000,1000,0,0,0.0,100.0
2,1.0,1000,1000,28,28,2.8,100.0
3,1.0,1000,1000,1,1,0.1,100.0
4,1.0,1000,1000,212,212,21.2,100.0
5,1.0,1000,1000,46,46,4.6,100.0
6,1.0,1000,1000,9,9,0.9,100.0
7,1.0,1000,1000,6,6,0.6,100.0
8,1.0,1000,1000,15,15,1.5,100.0
9,1.0,1000,1000,0,0,0.0,100.0
