class,epsilon_ball,M,total_samples,adversarial,valid_adv,asr_percent,valid_rate_percent
0,0.9,1000,1000,0,0,0.0,100.0
1,0.9,1000,1000,0,0,0.0,100.0
2,0.9,1000,1000,10,10,1.0,100.0
3,0.9,1000,1000,1,1,0.1,100.0
4,0.9,1000,1000,124,124,12.4,100.0
5,0.9,1000,1000,24,24,2.4,100.0
6,0.9,1000,1000,4,4,0.4,100.0
7,0.9,1000,1000,0,0,0.0,100.0
8,0.9,1000,1000,6,6,0.6,100.0
9,0.9,1000,1000,0,0,0.0,100.0
